id,title,description,category,price,discountPercentage,rating,stock,tags,brand,weight,warrantyInformation,shippingInformation,availabilityStatus,reviews,returnPolicy,minimumOrderQuantity
68,Pan,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",kitchen-accessories,24.99,3.0,2.79,90,"['cookware', 'pans']",,8,1 year warranty,Ships in 3-5 business days,In Stock,"[{'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Michael Johnson', 'reviewerEmail': 'michael.johnson@x.dummyjson.com'}, {'rating': 4, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Adrian Flores', 'reviewerEmail': 'adrian.flores@x.dummyjson.com'}, {'rating': 1, 'comment': 'Not as described!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nicholas Bailey', 'reviewerEmail': 'nicholas.bailey@x.dummyjson.com'}]",30 days return policy,17
69,Plate,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,kitchen-accessories,3.99,7.31,3.65,66,"['dinnerware', 'plates']",,4,1 year warranty,Ships in 1-2 business days,In Stock,"[{'rating': 3, 'comment': 'Disappointing product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Mia Miller', 'reviewerEmail': 'mia.miller@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Henry Adams', 'reviewerEmail': 'henry.adams@x.dummyjson.com'}, {'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nora Russell', 'reviewerEmail': 'nora.russell@x.dummyjson.com'}]",90 days return policy,6
70,Red Tongs,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,kitchen-accessories,6.99,14.52,4.42,82,"['kitchen tools', 'tongs']",,7,No warranty,Ships in 1 week,In Stock,"[{'rating': 4, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Xavier Wright', 'reviewerEmail': 'xavier.wright@x.dummyjson.com'}, {'rating': 5, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Stella Hughes', 'reviewerEmail': 'stella.hughes@x.dummyjson.com'}, {'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Jaxon Barnes', 'reviewerEmail': 'jaxon.barnes@x.dummyjson.com'}]",30 days return policy,23
71,Silver Pot With Glass Cap,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",kitchen-accessories,39.99,5.7,3.22,40,"['cookware', 'pots']",,7,1 year warranty,Ships in 1 month,In Stock,"[{'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Julian Newton', 'reviewerEmail': 'julian.newton@x.dummyjson.com'}, {'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Noah Lewis', 'reviewerEmail': 'noah.lewis@x.dummyjson.com'}, {'rating': 1, 'comment': 'Disappointing product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Brayden Hill', 'reviewerEmail': 'brayden.hill@x.dummyjson.com'}]",90 days return policy,10
72,Slotted Turner,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",kitchen-accessories,8.99,13.35,3.4,88,"['kitchen tools', 'turners']",,8,Lifetime warranty,Ships in 1-2 business days,In Stock,"[{'rating': 1, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ava Taylor', 'reviewerEmail': 'ava.taylor@x.dummyjson.com'}, {'rating': 2, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Liam Smith', 'reviewerEmail': 'liam.smith@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Gabriel Mitchell', 'reviewerEmail': 'gabriel.mitchell@x.dummyjson.com'}]",7 days return policy,34
73,Spice Rack,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,kitchen-accessories,19.99,12.09,4.87,79,"['kitchen tools', 'organization']",,7,1 week warranty,Ships overnight,In Stock,"[{'rating': 5, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Elena Baker', 'reviewerEmail': 'elena.baker@x.dummyjson.com'}, {'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Owen Fisher', 'reviewerEmail': 'owen.fisher@x.dummyjson.com'}, {'rating': 2, 'comment': 'Waste of money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Sadie Morales', 'reviewerEmail': 'sadie.morales@x.dummyjson.com'}]",7 days return policy,18
74,Spoon,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",kitchen-accessories,4.99,1.53,4.03,59,"['kitchen tools', 'utensils']",,6,1 year warranty,Ships in 1-2 business days,In Stock,"[{'rating': 3, 'comment': 'Waste of money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Jackson Evans', 'reviewerEmail': 'jackson.evans@x.dummyjson.com'}, {'rating': 1, 'comment': 'Disappointing product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Elena Baker', 'reviewerEmail': 'elena.baker@x.dummyjson.com'}, {'rating': 4, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Bella Gonzalez', 'reviewerEmail': 'bella.gonzalez@x.dummyjson.com'}]",90 days return policy,15
75,Tray,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",kitchen-accessories,16.99,7.48,4.62,71,"['serveware', 'trays']",,10,5 year warranty,Ships in 2 weeks,In Stock,"[{'rating': 5, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Samantha Howard', 'reviewerEmail': 'samantha.howard@x.dummyjson.com'}, {'rating': 3, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Benjamin Wilson', 'reviewerEmail': 'benjamin.wilson@x.dummyjson.com'}, {'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Caleb Nelson', 'reviewerEmail': 'caleb.nelson@x.dummyjson.com'}]",7 days return policy,23
76,Wooden Rolling Pin,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,kitchen-accessories,11.99,9.75,2.92,80,"['kitchen tools', 'baking']",,7,3 year warranty,Ships in 2 weeks,In Stock,"[{'rating': 2, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Aurora Lawson', 'reviewerEmail': 'aurora.lawson@x.dummyjson.com'}, {'rating': 3, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ava Taylor', 'reviewerEmail': 'ava.taylor@x.dummyjson.com'}, {'rating': 5, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Mila Hernandez', 'reviewerEmail': 'mila.hernandez@x.dummyjson.com'}]",30 days return policy,11
77,Yellow Peeler,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,kitchen-accessories,5.99,12.48,4.24,35,"['kitchen tools', 'peelers']",,7,1 month warranty,Ships in 3-5 business days,In Stock,"[{'rating': 1, 'comment': 'Very unhappy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Claire Foster', 'reviewerEmail': 'claire.foster@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Aaliyah Hanson', 'reviewerEmail': 'aaliyah.hanson@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Olivia Wilson', 'reviewerEmail': 'olivia.wilson@x.dummyjson.com'}]",90 days return policy,6
78,Apple MacBook Pro 14 Inch Space Grey,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",laptops,1999.99,4.69,3.65,24,"['laptops', 'apple']",Apple,9,3 year warranty,Ships in 2 weeks,In Stock,"[{'rating': 5, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Hazel Evans', 'reviewerEmail': 'hazel.evans@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Christopher West', 'reviewerEmail': 'christopher.west@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Aubrey Garcia', 'reviewerEmail': 'aubrey.garcia@x.dummyjson.com'}]",90 days return policy,1
79,Asus Zenbook Pro Dual Screen Laptop,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",laptops,1799.99,11.14,3.95,45,['laptops'],Asus,9,3 year warranty,Ships in 1 month,In Stock,"[{'rating': 4, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Michael Johnson', 'reviewerEmail': 'michael.johnson@x.dummyjson.com'}, {'rating': 5, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Zoe Bennett', 'reviewerEmail': 'zoe.bennett@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Mila Hernandez', 'reviewerEmail': 'mila.hernandez@x.dummyjson.com'}]",7 days return policy,1
80,Huawei Matebook X Pro,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",laptops,1399.99,9.38,4.98,75,['laptops'],Huawei,9,No warranty,Ships overnight,In Stock,"[{'rating': 4, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Evan Wright', 'reviewerEmail': 'evan.wright@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Hunter Gordon', 'reviewerEmail': 'hunter.gordon@x.dummyjson.com'}, {'rating': 1, 'comment': 'Not worth the price!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'William Gonzalez', 'reviewerEmail': 'william.gonzalez@x.dummyjson.com'}]",60 days return policy,1
81,Lenovo Yoga 920,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",laptops,1099.99,6.55,2.86,40,['laptops'],Lenovo,9,6 months warranty,Ships in 2 weeks,In Stock,"[{'rating': 4, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Bella Gonzalez', 'reviewerEmail': 'bella.gonzalez@x.dummyjson.com'}, {'rating': 5, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nathan Reed', 'reviewerEmail': 'nathan.reed@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Hazel Gardner', 'reviewerEmail': 'hazel.gardner@x.dummyjson.com'}]",No return policy,1
82,New DELL XPS 13 9300 Laptop,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",laptops,1499.99,11.89,2.67,74,['laptops'],Dell,2,2 year warranty,Ships in 2 weeks,In Stock,"[{'rating': 3, 'comment': 'Poor quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Charlotte Lopez', 'reviewerEmail': 'charlotte.lopez@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Alice Smith', 'reviewerEmail': 'alice.smith@x.dummyjson.com'}, {'rating': 2, 'comment': 'Disappointing product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ava Taylor', 'reviewerEmail': 'ava.taylor@x.dummyjson.com'}]",60 days return policy,1
83,Blue & Black Check Shirt,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",mens-shirts,29.99,15.35,3.64,38,"['clothing', ""men's shirts""]",Fashion Trends,4,3 year warranty,Ships in 3-5 business days,In Stock,"[{'rating': 1, 'comment': 'Waste of money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Logan Lee', 'reviewerEmail': 'logan.lee@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Zachary Lee', 'reviewerEmail': 'zachary.lee@x.dummyjson.com'}, {'rating': 4, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Aurora Rodriguez', 'reviewerEmail': 'aurora.rodriguez@x.dummyjson.com'}]",30 days return policy,18
84,Gigabyte Aorus Men Tshirt,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",mens-shirts,24.99,0.94,3.18,90,"['clothing', ""men's t-shirts""]",Gigabyte,4,3 year warranty,Ships overnight,In Stock,"[{'rating': 5, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Amelia Perez', 'reviewerEmail': 'amelia.perez@x.dummyjson.com'}, {'rating': 5, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Tyler Davis', 'reviewerEmail': 'tyler.davis@x.dummyjson.com'}, {'rating': 1, 'comment': 'Disappointing product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Harper King', 'reviewerEmail': 'harper.king@x.dummyjson.com'}]",30 days return policy,16
85,Man Plaid Shirt,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,mens-shirts,34.99,19.5,3.46,82,"['clothing', ""men's shirts""]",Classic Wear,3,1 week warranty,Ships in 1-2 business days,In Stock,"[{'rating': 3, 'comment': 'Disappointing product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Aubrey Wagner', 'reviewerEmail': 'aubrey.wagner@x.dummyjson.com'}, {'rating': 4, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Evan Reed', 'reviewerEmail': 'evan.reed@x.dummyjson.com'}, {'rating': 2, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Evelyn Gonzalez', 'reviewerEmail': 'evelyn.gonzalez@x.dummyjson.com'}]",7 days return policy,13
86,Man Short Sleeve Shirt,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",mens-shirts,19.99,6.83,2.9,2,"['clothing', ""men's shirts""]",Casual Comfort,2,3 year warranty,Ships in 2 weeks,Low Stock,"[{'rating': 5, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Charlotte Lopez', 'reviewerEmail': 'charlotte.lopez@x.dummyjson.com'}, {'rating': 2, 'comment': 'Poor quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ellie Stewart', 'reviewerEmail': 'ellie.stewart@x.dummyjson.com'}, {'rating': 1, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Sadie Morales', 'reviewerEmail': 'sadie.morales@x.dummyjson.com'}]",30 days return policy,4
87,Men Check Shirt,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",mens-shirts,27.99,11.38,2.72,95,"['clothing', ""men's shirts""]",Urban Chic,10,No warranty,Ships in 1-2 business days,In Stock,"[{'rating': 3, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Mateo Nguyen', 'reviewerEmail': 'mateo.nguyen@x.dummyjson.com'}, {'rating': 5, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Lucas Allen', 'reviewerEmail': 'lucas.allen@x.dummyjson.com'}, {'rating': 2, 'comment': 'Very unhappy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Henry Adams', 'reviewerEmail': 'henry.adams@x.dummyjson.com'}]",30 days return policy,12
88,Nike Air Jordan 1 Red And Black,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",mens-shoes,149.99,4.12,4.77,7,"['footwear', 'athletic shoes']",Nike,3,1 year warranty,Ships in 1 week,In Stock,"[{'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Elena Long', 'reviewerEmail': 'elena.long@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Addison Wright', 'reviewerEmail': 'addison.wright@x.dummyjson.com'}, {'rating': 1, 'comment': 'Waste of money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Mason Wright', 'reviewerEmail': 'mason.wright@x.dummyjson.com'}]",No return policy,1
89,Nike Baseball Cleats,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,mens-shoes,79.99,18.04,3.88,12,"['footwear', 'sports cleats']",Nike,9,6 months warranty,Ships in 2 weeks,In Stock,"[{'rating': 5, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Aaron Cook', 'reviewerEmail': 'aaron.cook@x.dummyjson.com'}, {'rating': 2, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Noah Lewis', 'reviewerEmail': 'noah.lewis@x.dummyjson.com'}, {'rating': 3, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Michael Johnson', 'reviewerEmail': 'michael.johnson@x.dummyjson.com'}]",No return policy,3
90,Puma Future Rider Trainers,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",mens-shoes,89.99,4.2,4.9,90,"['footwear', 'casual shoes']",Puma,6,5 year warranty,Ships in 1-2 business days,In Stock,"[{'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Jackson Morales', 'reviewerEmail': 'jackson.morales@x.dummyjson.com'}, {'rating': 1, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Sophia Jones', 'reviewerEmail': 'sophia.jones@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very pleased!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Logan Torres', 'reviewerEmail': 'logan.torres@x.dummyjson.com'}]",90 days return policy,10
91,Sports Sneakers Off White & Red,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",mens-shoes,119.99,4.97,4.77,17,"['footwear', 'athletic shoes']",Off White,7,1 week warranty,Ships in 3-5 business days,In Stock,"[{'rating': 4, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Sadie Morales', 'reviewerEmail': 'sadie.morales@x.dummyjson.com'}, {'rating': 5, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Julian Newton', 'reviewerEmail': 'julian.newton@x.dummyjson.com'}, {'rating': 5, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Logan Lee', 'reviewerEmail': 'logan.lee@x.dummyjson.com'}]",30 days return policy,5
92,Sports Sneakers Off White Red,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",mens-shoes,109.99,0.04,4.69,62,"['footwear', 'casual shoes']",Off White,9,3 months warranty,Ships overnight,In Stock,"[{'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Aurora Lawson', 'reviewerEmail': 'aurora.lawson@x.dummyjson.com'}, {'rating': 5, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Gabriel Mitchell', 'reviewerEmail': 'gabriel.mitchell@x.dummyjson.com'}, {'rating': 1, 'comment': 'Not worth the price!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Eli Bennett', 'reviewerEmail': 'eli.bennett@x.dummyjson.com'}]",60 days return policy,3
93,Brown Leather Belt Watch,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",mens-watches,89.99,5.99,4.19,32,"['watches', 'leather watches']",Fashion Timepieces,10,1 year warranty,Ships in 1 month,In Stock,"[{'rating': 1, 'comment': 'Very unhappy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'James Garcia', 'reviewerEmail': 'james.garcia@x.dummyjson.com'}, {'rating': 4, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Avery Barnes', 'reviewerEmail': 'avery.barnes@x.dummyjson.com'}, {'rating': 4, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'David Martinez', 'reviewerEmail': 'david.martinez@x.dummyjson.com'}]",30 days return policy,7
94,Longines Master Collection,"The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",mens-watches,1499.99,17.24,3.87,100,"['watches', 'luxury watches']",Longines,4,1 week warranty,Ships in 1-2 business days,In Stock,"[{'rating': 4, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Eli Ward', 'reviewerEmail': 'eli.ward@x.dummyjson.com'}, {'rating': 3, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Owen Fisher', 'reviewerEmail': 'owen.fisher@x.dummyjson.com'}, {'rating': 5, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nathan Reed', 'reviewerEmail': 'nathan.reed@x.dummyjson.com'}]",7 days return policy,1
95,Rolex Cellini Date Black Dial,"The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",mens-watches,8999.99,8.88,4.97,40,"['watches', 'luxury watches']",Rolex,2,3 months warranty,Ships in 1 week,In Stock,"[{'rating': 3, 'comment': 'Not worth the price!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Owen Sullivan', 'reviewerEmail': 'owen.sullivan@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Jonathan Pierce', 'reviewerEmail': 'jonathan.pierce@x.dummyjson.com'}, {'rating': 1, 'comment': 'Would not buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Adrian Flores', 'reviewerEmail': 'adrian.flores@x.dummyjson.com'}]",90 days return policy,1
96,Rolex Cellini Moonphase,"The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",mens-watches,12999.99,17.52,2.58,36,"['watches', 'luxury watches']",Rolex,2,6 months warranty,Ships overnight,In Stock,"[{'rating': 3, 'comment': 'Poor quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ella Adams', 'reviewerEmail': 'ella.adams@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Leo Rivera', 'reviewerEmail': 'leo.rivera@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very pleased!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Emma Miller', 'reviewerEmail': 'emma.miller@x.dummyjson.com'}]",7 days return policy,1
97,Rolex Datejust,"The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",mens-watches,10999.99,3.73,3.66,86,"['watches', 'luxury watches']",Rolex,4,2 year warranty,Ships in 1 month,In Stock,"[{'rating': 4, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Alice Smith', 'reviewerEmail': 'alice.smith@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very pleased!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Abigail Rivera', 'reviewerEmail': 'abigail.rivera@x.dummyjson.com'}, {'rating': 3, 'comment': 'Waste of money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Daniel Cook', 'reviewerEmail': 'daniel.cook@x.dummyjson.com'}]",7 days return policy,1
98,Rolex Submariner Watch,"The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",mens-watches,13999.99,5.05,2.69,55,"['watches', 'luxury watches']",Rolex,4,5 year warranty,Ships in 1 month,In Stock,"[{'rating': 4, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Luna Perez', 'reviewerEmail': 'luna.perez@x.dummyjson.com'}, {'rating': 5, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Hannah Robinson', 'reviewerEmail': 'hannah.robinson@x.dummyjson.com'}, {'rating': 5, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Aaliyah Hanson', 'reviewerEmail': 'aaliyah.hanson@x.dummyjson.com'}]",90 days return policy,1
99,Amazon Echo Plus,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.,mobile-accessories,99.99,12.07,4.99,61,"['electronics', 'smart speakers']",Amazon,5,6 months warranty,Ships in 1 week,In Stock,"[{'rating': 2, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Chloe Morales', 'reviewerEmail': 'chloe.morales@x.dummyjson.com'}, {'rating': 3, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Mateo Perez', 'reviewerEmail': 'mateo.perez@x.dummyjson.com'}, {'rating': 4, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Evelyn Walker', 'reviewerEmail': 'evelyn.walker@x.dummyjson.com'}]",7 days return policy,9
